City,Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
WALLSBURG,Heavy Truck,0,0,0,34,0,6,0,0,0,0,0,0,0,40
WANSHIP,Motorcycle - Standard,0,0,0,0,0,45,0,0,0,0,0,0,0,45
WANSHIP,Passenger - Standard,0,0,0,11,7,289,6,0,0,0,1,0,0,314
WANSHIP,Light Truck,0,0,3,159,5,652,8,0,0,0,3,0,0,830
WANSHIP,Heavy Truck,0,0,0,30,0,5,0,0,0,0,0,0,0,35
WASHINGTON CITY,Passenger - Standard,0,0,0,1,0,3,0,0,0,0,0,0,0,4
WASHINGTON CITY,Light Truck,0,0,0,2,0,8,0,0,0,0,0,0,0,10
WASHINGTON CITY,Heavy Truck,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WASHINGTON TERRACE,Motorcycle - Standard,0,0,0,0,0,107,0,0,0,0,0,0,0,107
WASHINGTON TERRACE,Passenger - Standard,0,0,1,5,9,1323,28,0,0,0,1,0,0,1367
WASHINGTON TERRACE,Light Truck,0,0,2,104,3,1250,18,0,0,0,2,0,0,1379
WASHINGTON TERRACE,Heavy Truck,0,0,0,18,0,15,0,0,0,0,0,0,0,33
WELLINGTON,Motorcycle - Standard,0,0,0,0,0,46,0,0,0,0,0,0,0,46
WELLINGTON,Passenger - Standard,0,0,1,5,2,710,11,0,0,0,1,0,0,730
WELLINGTON,Light Truck,0,0,2,254,0,876,3,0,0,0,1,0,0,1136
WELLINGTON,Heavy Truck,0,0,2,76,0,18,0,0,0,0,0,0,0,96
WELLSVILLE,Motorcycle - Standard,0,0,0,0,0,242,0,0,0,0,0,0,0,242
WELLSVILLE,Passenger - Standard,0,0,11,28,21,1747,56,0,0,0,8,0,0,1871
WELLSVILLE,Light Truck,0,0,3,572,11,2789,30,0,0,0,3,0,0,3408
WELLSVILLE,Heavy Truck,0,0,0,325,0,32,0,0,0,0,0,0,0,357
WENDOVER,Motorcycle - Standard,0,0,0,0,0,5,0,0,0,0,0,0,0,5
WENDOVER,Passenger - Standard,0,0,1,1,0,474,9,0,0,0,1,0,0,486
